# { 't_start': 1764629061.984163, 'env_id': 'MiniGrid-Dynamic-Cardinal' }
r,l,t
0.947265625,15,0.003075838088989258
0.933203125,19,0.0073049068450927734
0.96484375,10,0.010541677474975586
0.95078125,14,0.01345372200012207
0.954296875,13,0.01617884635925293
0.926171875,21,0.020572900772094727
0.947265625,15,0.024814844131469727
0.96484375,10,0.027026891708374023
0.96484375,10,0.02934098243713379
0.95078125,14,0.03263092041015625
0.954296875,13,0.03569483757019043
0.93671875,18,0.041017770767211914
0.95078125,14,0.04401206970214844
0.933203125,19,0.04900979995727539
0.9578125,12,0.05180478096008301
0.92265625,22,0.05652880668640137
0.96484375,10,0.05880880355834961
0.96484375,10,0.061666011810302734
0.954296875,13,0.06445908546447754
0.940234375,17,0.06852197647094727
0.94375,16,0.0722188949584961
0.96484375,10,0.07749080657958984
0.954296875,13,0.08184289932250977
0.933203125,19,0.0858917236328125
0.961328125,11,0.08835983276367188
0.961328125,11,0.09244799613952637
0.933203125,19,0.09862875938415527
0.940234375,17,0.10285186767578125
0.947265625,15,0.11035275459289551
0.96484375,10,0.1141350269317627
0.96484375,10,0.11866497993469238
0.954296875,13,0.12447690963745117
0.96484375,10,0.1266477108001709
0.9578125,12,0.12918496131896973
-1,1,0.12955594062805176
0.954296875,13,0.1321859359741211
0.96484375,10,0.13442468643188477
0.9578125,12,0.13930296897888184
0.94375,16,0.14361286163330078
0.9578125,12,0.14782071113586426
0.9578125,12,0.1517329216003418
0.947265625,15,0.15482187271118164
0.961328125,11,0.15719294548034668
0.954296875,13,0.1601569652557373
0.954296875,13,0.1630547046661377
0.940234375,17,0.16666603088378906
0.961328125,11,0.17101693153381348
0.940234375,17,0.1755979061126709
0.954296875,13,0.17914485931396484
0.95078125,14,0.18229079246520996
0.961328125,11,0.18456768989562988
0.954296875,13,0.18804407119750977
0.96484375,10,0.1902179718017578
0.961328125,11,0.1926279067993164
0.94375,16,0.19614291191101074
0.9578125,12,0.19889378547668457
-1,2,0.199537992477417
0.9578125,12,0.20209097862243652
0.9578125,12,0.20479393005371094
0.926171875,21,0.20918893814086914
0.933203125,19,0.2133340835571289
0.93671875,18,0.2171618938446045
0.9578125,12,0.219970703125
0.954296875,13,0.2231917381286621
0.94375,16,0.2307579517364502
0.93671875,18,0.23573994636535645
0.9296875,20,0.24022388458251953
0.9578125,12,0.24281978607177734
0.96484375,10,0.24488592147827148
0.954296875,13,0.24772095680236816
0.95078125,14,0.25055694580078125
0.9578125,12,0.25317883491516113
0.947265625,15,0.2564709186553955
0.96484375,10,0.25862598419189453
0.95078125,14,0.2616748809814453
0.96484375,10,0.2638857364654541
0.954296875,13,0.26688289642333984
0.96484375,10,0.2689659595489502
0.96484375,10,0.27106690406799316
0.96484375,10,0.27315402030944824
0.961328125,11,0.27565598487854004
0.961328125,11,0.2781670093536377
0.9578125,12,0.2806529998779297
0.96484375,10,0.28293490409851074
0.954296875,13,0.28567981719970703
